"","ID","state","attend_online","attend_meet","buttons_signs","donate","contact_congr","registered","party","vote","votechoice","ft_biden","ft_trump","ft_harris","ft_pence","ft_fauci","ft_scotus","ft_congress","ft_police","ft_science","ft_blm","limits_campaigns","limit_imports","immigration","refugees","act_ineq","hist_discrim","econ_mobility","tax_rich","aca","vaccines","reg_emissions","background_checks","freetrade","minwage"
"2511",234247,6,"Yes","No","No","No","No",NA,1,"Yes","Biden",85,0,85,15,90,30,0,40,100,85,"Favor",2,"Same","Favor","Favor a great deal","Agree Strongly","A great deal harder","Favor","Approve","Approve","Approve","Approve","Neutral","Raised"
"2512",234254,36,"No","No","No","No","No",NA,1,"Yes","Biden",85,0,85,15,100,85,30,85,100,85,"Favor",1,"Same","Neutral","Neutral","Agree Strongly","A great deal harder","Oppose","Approve","Approve","Approve","Approve","Approve","Raised"
"2513",234278,45,"No","Yes","No","No","No",NA,NA,"Yes","Trump",0,85,15,100,50,100,60,100,100,50,"Favor",1,"Decreased a lot","Oppose","Oppose a moderate amount","Neutral","A great deal easier","Favor","Disapprove","Approve","Disapprove","Approve","Approve","Raised"
"2514",234285,24,"No","No","No","No","No",NA,2,"Yes","Trump",30,70,0,85,60,50,30,85,70,0,"Neutral",2,"Same","Favor","Oppose a great deal","Neutral","Moderately harder","Oppose","Neutral","Neutral","Disapprove","Neutral","Approve","Same"
"2515",234292,36,"No","No","Yes","Yes","No",NA,1,"Yes","Biden",85,0,85,0,100,50,60,70,100,70,"Favor",2,"Increased a lot","Neutral","Favor a great deal","Agree somewhat","A great deal easier","Favor","Approve","Approve","Approve","Approve","Approve","Raised"
"2516",234308,47,"No","No","Yes","No","No",NA,NA,"Yes","Trump",0,100,0,85,75,100,100,100,100,100,"Favor",2,"Decreased a lot","Oppose","Neutral","Neutral","A little harder","Favor","Neutral","Approve","Approve","Approve","Disapprove","Raised"
"2517",234339,6,"Yes","Yes","No","Yes","No",NA,2,"Yes","Trump",0,100,0,85,0,60,40,85,60,15,"Favor",1,"Decreased a lot","Oppose","Oppose a great deal","Disagree Somewhat","A great deal harder","Neutral","Disapprove","Neutral","Neutral","Approve","Neutral","Same"
"2518",234346,18,"Yes","No","No","Yes","Yes",NA,NA,"No",NA,90,0,95,0,90,40,40,45,100,60,"Favor",1,"Same","Favor","Favor a great deal","Disagree strongly","A great deal harder","Favor","Approve","Approve","Approve","Approve","Neutral","Raised"
"2519",234360,54,"No","No","Yes","No","No",NA,1,"Yes","Trump",30,85,20,80,75,80,75,90,100,50,"Favor",1,"Increased a litte","Neutral","Favor a moderate amount","Disagree strongly","Moderately Easier","Favor","Disapprove","Approve","Neutral","Approve","Neutral","Same"
"2520",234377,9,"No","No","No","No","No",NA,1,"Yes","Biden",60,0,70,15,50,40,50,15,60,100,"Favor",2,"Same","Favor","Neutral","Agree somewhat","A little harder","Neutral","Approve","Approve","Approve","Approve","Neutral","Same"
